model,auc,accuracy,precision,recall,f1
Logistic Regression,0.5632017164004502,0.5597885688880107,0.5899033907937109,0.5761730313795145,0.582957374716861
Random Forest,0.5963229793560824,0.5704292841970063,0.5996079392305808,0.5885694197750148,0.5940374039458082
